sid,state,crime,murder,pctmetro,pctwhite,pcths,poverty,single
1.0,ak,761,9.0,41.79999923706055,75.19999694824219,86.5999984741211,9.100000381469727,14.300000190734863
2.0,al,780,11.600000381469727,67.4000015258789,73.5,66.9000015258789,17.399999618530273,11.5
3.0,ar,593,10.199999809265137,44.70000076293945,82.9000015258789,66.30000305175781,20.0,10.699999809265137
4.0,az,715,8.600000381469727,84.69999694824219,88.5999984741211,78.69999694824219,15.399999618530273,12.100000381469727
5.0,ca,1078,13.100000381469727,96.69999694824219,79.30000305175781,76.19999694824219,18.200000762939453,12.5
6.0,co,567,5.800000190734863,81.80000305175781,92.5,84.4000015258789,9.899999618530273,12.100000381469727
7.0,ct,456,6.300000190734863,95.69999694824219,89.0,79.19999694824219,8.5,10.100000381469727
8.0,de,686,5.0,82.69999694824219,79.4000015258789,77.5,10.199999809265137,11.399999618530273
9.0,fl,1206,8.899999618530273,93.0,83.5,74.4000015258789,17.799999237060547,10.600000381469727
10.0,ga,723,11.399999618530273,67.69999694824219,70.80000305175781,70.9000015258789,13.5,13.0
11.0,hi,261,3.799999952316284,74.69999694824219,40.900001525878906,80.0999984741211,8.0,9.100000381469727
12.0,ia,326,2.299999952316284,43.79999923706055,96.5999984741211,80.0999984741211,10.300000190734863,9.0
13.0,id,282,2.9000000953674316,30.0,96.69999694824219,79.69999694824219,13.100000381469727,9.5
14.0,il,960,11.399999618530273,84.0,81.0,76.19999694824219,13.600000381469727,11.5
15.0,in,489,7.5,71.5999984741211,90.5999984741211,75.5999984741211,12.199999809265137,10.800000190734863
16.0,ks,496,6.400000095367432,54.599998474121094,90.9000015258789,81.30000305175781,13.100000381469727,9.899999618530273
17.0,ky,463,6.599999904632568,48.5,91.80000305175781,64.5999984741211,20.399999618530273,10.600000381469727
18.0,la,1062,20.299999237060547,75.0,66.69999694824219,68.30000305175781,26.399999618530273,14.899999618530273
19.0,ma,805,3.9000000953674316,96.19999694824219,91.0999984741211,80.0,10.699999809265137,10.899999618530273
20.0,md,998,12.699999809265137,92.80000305175781,68.9000015258789,78.4000015258789,9.699999809265137,12.0
21.0,me,126,1.600000023841858,35.70000076293945,98.5,78.80000305175781,10.699999809265137,10.600000381469727
22.0,mi,792,9.800000190734863,82.69999694824219,83.0999984741211,76.80000305175781,15.399999618530273,13.0
23.0,mn,327,3.4000000953674316,69.30000305175781,94.0,82.4000015258789,11.600000381469727,9.899999618530273
24.0,mo,744,11.300000190734863,68.30000305175781,87.5999984741211,73.9000015258789,16.100000381469727,10.899999618530273
25.0,ms,434,13.5,30.700000762939453,63.29999923706055,64.30000305175781,24.700000762939453,14.699999809265137
26.0,mt,178,3.0,24.0,92.5999984741211,81.0,14.899999618530273,10.800000190734863
27.0,nc,679,11.300000190734863,66.30000305175781,75.19999694824219,70.0,14.399999618530273,11.100000381469727
28.0,nd,82,1.7000000476837158,41.599998474121094,94.19999694824219,76.69999694824219,11.199999809265137,8.399999618530273
29.0,ne,339,3.9000000953674316,50.599998474121094,94.30000305175781,81.80000305175781,10.300000190734863,9.399999618530273
30.0,nh,138,2.0,59.400001525878906,98.0,82.19999694824219,9.899999618530273,9.199999809265137
31.0,nj,627,5.300000190734863,100.0,80.80000305175781,76.69999694824219,10.899999618530273,9.600000381469727
32.0,nm,930,8.0,56.0,87.0999984741211,75.0999984741211,17.399999618530273,13.800000190734863
33.0,nv,875,10.399999618530273,84.80000305175781,86.69999694824219,78.80000305175781,9.800000190734863,12.399999618530273
34.0,ny,1074,13.300000190734863,91.69999694824219,77.19999694824219,74.80000305175781,16.399999618530273,12.699999809265137
35.0,oh,504,6.0,81.30000305175781,87.5,75.69999694824219,13.0,11.399999618530273
36.0,ok,635,8.399999618530273,60.099998474121094,82.5,74.5999984741211,19.899999618530273,11.100000381469727
37.0,or,503,4.599999904632568,70.0,93.5999984741211,81.5,11.800000190734863,11.300000190734863
38.0,pa,418,6.800000190734863,84.80000305175781,88.69999694824219,74.69999694824219,13.199999809265137,9.600000381469727
39.0,ri,402,3.9000000953674316,93.5999984741211,92.5999984741211,72.0,11.199999809265137,10.800000190734863
40.0,sc,1023,10.300000190734863,69.80000305175781,68.5999984741211,68.30000305175781,18.700000762939453,12.300000190734863
41.0,sd,208,3.4000000953674316,32.599998474121094,90.19999694824219,77.0999984741211,14.199999809265137,9.399999618530273
42.0,tn,766,10.199999809265137,67.69999694824219,82.80000305175781,67.0999984741211,19.600000381469727,11.199999809265137
43.0,tx,762,11.899999618530273,83.9000015258789,85.0999984741211,72.0999984741211,17.399999618530273,11.800000190734863
44.0,ut,301,3.0999999046325684,77.5,94.80000305175781,85.0999984741211,10.699999809265137,10.0
45.0,va,372,8.300000190734863,77.5,77.0999984741211,75.19999694824219,9.699999809265137,10.300000190734863
46.0,vt,114,3.5999999046325684,27.0,98.4000015258789,80.80000305175781,10.0,11.0
47.0,wa,515,5.199999809265137,83.0,89.4000015258789,83.80000305175781,12.100000381469727,11.699999809265137
48.0,wi,264,4.400000095367432,68.0999984741211,92.0999984741211,78.5999984741211,12.600000381469727,10.399999618530273
49.0,wv,208,6.900000095367432,41.79999923706055,96.30000305175781,66.0,22.200000762939453,9.399999618530273
50.0,wy,286,3.4000000953674316,29.700000762939453,95.9000015258789,83.0,13.300000190734863,10.800000190734863
51.0,dc,2922,78.5,100.0,31.799999237060547,73.0999984741211,26.399999618530273,22.100000381469727
