SITE,AXIS1,AXIS2
Florida, 1.748476e-01,-2.467766e-01
Sandmark,-4.208408e-01,-5.147658e-02
34street,-4.228657e-01,-9.507461e-02
Balboaterr,-4.555427e-01,-7.932232e-02
Katesess,-4.831572e-01,-7.617330e-02
Altalajolla,-4.360749e-01,-5.276658e-02
Laurel, 4.773109e-01,-1.973636e-01
Canon, 4.773109e-01,-1.973636e-01
Zena, 4.756899e-01, 8.713331e-02
Baja, 4.659802e-01, 1.442167e-01
Washington, 4.773109e-01,-1.973636e-01
Solanadrive,-2.034959e-01,-4.780464e-02
Syracuse,-4.386522e-01,-9.426037e-02
32streetsth, 4.782927e-01, 6.526554e-02
60th, 4.773109e-01,-1.973636e-01
Juan, 4.773109e-01,-1.973636e-01
Acuna, 1.019274e-01, 7.316775e-01
Edison,-4.905412e-01,-6.944693e-02
Spruce,-4.408427e-01,-1.344888e-02
Oakcrest,-4.077760e-01, 1.009298e-01
54street, 3.347589e-01, 4.495600e-01
Titus, 4.773109e-01,-1.973636e-01
Montanosa,-2.637497e-01, 1.472827e-02
Elmac, 1.019274e-01, 7.316775e-01
32streetnth, 4.773109e-01,-1.973636e-01
Tec1,-5.034011e-01,-5.409010e-02
Tec2,-5.076524e-01,-6.300260e-02
Delmarmesa,-7.564386e-06,-2.513721e-07
